org_name,shared_companies,shared_big_companies,group_size,countries_worked_in_together,worked_together_time,worked_together_time_big,communication_skills,emotional_intelligence,shared_languages,shared_skills,endorsements,skill_synergy,years_studied_together,level_studied_together,shared_projects,shared_publications,prior_experience_scale,founders_with_prior_technical_experience,founders_with_prior_business_experience,founders_with_good_network,founders_with_marketing_experience,founders_with_finance_experience,founders_with_legal_experience,founders_resilient,rd_costs,set_up_costs,brand_loyalty,legal_barriers,capital_requirements,years_to_breakeven,market_saturation,companies_that_failed,prior_founding_experience,previous_big_tech_experience,institution_level,average_publications,average_education,highest_education,average_extroversion,leadership_roles,years_of_experience,years_post_grad,countries_worked_in_average,average_GPA,average_awards,success
\/dev\/color,,,1,,,,0,0,,,,0,,,,,3,1,0,0,0,0,0,0,5.0,5.0,5.0,5.0,7.0,3,71,10,1,6,1,0.0,2.0,Bachelors,4.0,1.0,12.0,0.0,2.0,3.5,0.0,0
1 Atelier LLC,,,1,,,,0,0,,,,0,,,,,4,0,1,0,1,1,0,0,5.0,6.0,7.0,5.0,6.0,3,10,2,0,1,1,0.0,2.0,MBA,4.0,5.0,25.0,33.0,1.0,3.8,1.0,0
1031 CrowdFunding,,,1,,,,0,0,,,,0,,,,,2,0,1,0,0,0,0,0,5.0,7.0,6.0,5.0,6.0,3,10,1,1,0,4,0.0,1.0,Bachelors,3.0,1.0,20.0,0.0,1.0,0.0,0.0,0
10Power,,,1,,,,0,0,,,,0,,,,,3,1,1,1,1,1,0,0,6.0,6.0,6.0,5.0,7.0,3,20,2,2,1,2,0.0,2.0,MBA,0.0,1.0,7.0,5.0,1.0,0.0,0.0,0
10Web,3,0,2,2,1,0,0,0,3,0,0,0,2.0,Masters,0,10,2,2,0,0,0,0,0,0,5.0,7.0,6.0,5.0,7.0,3,50,10,2,0,2,10.0,3.0,PHD,3.0,1.0,8.0,6.0,1.0,3.5,1.0,0
10X Genomics,2,1,2,1,2,1,0,0,0,0,0,2,0.0,,0,0,5,2,0,0,0,0,0,0,7.0,8.0,7.0,5.0,8.0,2,6,5,2,2,2,0.0,2.0,PhD,3.0,2.0,8.5,3.0,1.0,0.0,0.0,1
10XTS,,,1,,,,0,0,,,,0,,,,,2,1,1,1,0,1,0,0,5.0,5.0,5.0,4.0,6.0,3,7,5,0,1,2,0.0,2.0,Masters,3.0,1.0,40.0,8.0,1.0,3.0,0.0,0
10by10.io,,,1,,,,0,0,,,,0,,,,,4,1,0,1,0,0,0,0,5.0,6.0,7.0,5.0,6.0,3,10,5,1,1,1,0.0,2.0,Bachelors,4.0,1.0,20.0,4.0,1.0,3.5,0.0,0
121 Mobile,,,1,,,,0,0,,,,0,,,,,2,0,2,1,1,0,0,0,8.0,8.0,5.0,7.0,8.0,3,10,4,1,1,3,0.0,2.0,Masters,3.0,1.0,16.0,20.0,1.0,3.5,0.0,0
149 Medical,1,0,2,1,3,0,0,0,2,0,0,0,4.5,PhD,0,0,2,1,0,0,0,0,0,0,4.0,5.0,6.0,7.0,5.0,2,5,1,0,0,1,0.0,3.0,PhD,0.0,0.0,12.0,8.0,1.0,0.0,0.0,0
